Group,Order,Mode,DL,BinSize,CayleySize
"SmallGroup(64,267)",64,3,1,3015,16384
"SmallGroup(72,41)",72,5,3,3711,20736
"SmallGroup(80,49)",80,3,2,3815,25600
"SmallGroup(96,227)",96,3,3,4679,36864
"SmallGroup(108,15)",108,3,3,5131,46656
"SmallGroup(112,41)",112,3,2,5607,50176
"SmallGroup(125,3)",125,5,2,5723,62500
"SmallGroup(128,928)",128,3,3,6599,65536
"SmallGroup(144,182)",144,3,3,7179,82944
"SmallGroup(162,10)",162,3,3,8299,104976
"SmallGroup(168,43)",168,3,3,9359,112896
"SmallGroup(192,1493)",192,3,4,11207,147456
"SmallGroup(200,40)",200,5,2,8735,160000
"SmallGroup(216,87)",216,3,4,12043,186624
"SmallGroup(224,63)",224,3,2,10199,200704
"SmallGroup(243,25)",243,3,2,14131,236196
"SmallGroup(252,26)",252,3,2,11639,254016
"SmallGroup(256,26675)",256,3,2,11463,262144
"SmallGroup(270,22)",270,5,2,12415,291600
"SmallGroup(288,1025)",288,3,3,13031,331776
"SmallGroup(300,25)",300,5,3,12975,360000
"SmallGroup(320,1635)",320,3,3,14663,409600
"SmallGroup(324,160)",324,3,3,21259,419904
"SmallGroup(336,118)",336,5,4,14791,451584
"SmallGroup(343,3)",343,5,2,14371,470596
"SmallGroup(378,6)",378,3,1,18911,571536
"SmallGroup(384,5765)",384,3,3,18119,589824
"SmallGroup(392,28)",392,3,2,19799,614656
"SmallGroup(400,206)",400,5,3,17471,640000
"SmallGroup(432,520)",432,5,4,18855,746496
"SmallGroup(448,179)",448,3,3,21831,802816
"SmallGroup(486,61)",486,5,3,21343,944784
"SmallGroup(500,27)",500,5,3,22223,1000000
"SmallGroup(512,10494)",512,3,2,25799,1048576
"SmallGroup(540,59)",540,3,2,34255,1166400
"SmallGroup(576,8654)",576,3,3,30023,1327104
"SmallGroup(600,55)",600,5,3,24575,1440000
"SmallGroup(625,14)",625,3,2,27699,1562500
"SmallGroup(648,259)",648,5,3,27607,1679616
"SmallGroup(672,172)",672,5,2,29879,1806336
"SmallGroup(686,5)",686,5,2,27895,1882384
"SmallGroup(729,34)",729,3,2,32275,2125764
"SmallGroup(750,15)",750,5,2,33167,2250000
"SmallGroup(756,20)",756,3,2,48503,2286144
"SmallGroup(768,1083755)",768,3,3,35271,2359296
"SmallGroup(800,116)",800,3,2,36491,2560000
"SmallGroup(810,65)",810,5,2,36383,2624400
"SmallGroup(864,700)",864,3,3,52199,2985984
"SmallGroup(882,7)",882,5,2,35975,3111696
"SmallGroup(896,211)",896,3,2,40199,3211264
"SmallGroup(900,95)",900,3,3,41867,3240000
"SmallGroup(972,66)",972,5,2,42511,3779136
"SmallGroup(1000,86)",1000,3,3,47499,4000000
"SmallGroup(1029,12)",1029,5,3,42203,4235364
"SmallGroup(1080,104)",1080,3,2,59687,4665600
"SmallGroup(1125,10)",1125,5,2,47147,5062500
"SmallGroup(1152,157)",1152,3,2,51527,5308416
"SmallGroup(1176,41)",1176,3,2,59343,5531904
"SmallGroup(1215,15)",1215,3,2,58195,5904900
"SmallGroup(1250,6)",1250,3,2,62699,6250000
"SmallGroup(1296,536)",1296,3,3,63019,6718464
"SmallGroup(1323,4)",1323,5,2,55091,7001316
"SmallGroup(1372,35)",1372,3,2,66447,7529536
"SmallGroup(1440,523)",1440,5,2,61679,8294400
"SmallGroup(1458,30)",1458,3,2,73099,8503056
"SmallGroup(1500,28)",1500,5,2,63023,9000000
"SmallGroup(1536,408544)",1536,3,2,71879,9437184
"SmallGroup(1568,41)",1568,3,2,78599,9834496
"SmallGroup(1620,63)",1620,3,2,73423,10497600
"SmallGroup(1680,954)",1680,3,3,85895,11289600
"SmallGroup(1701,28)",1701,3,2,89299,11573604
"SmallGroup(1728,928)",1728,3,2,91179,11943936
"SmallGroup(1750,10)",1750,3,2,97899,12250000
"SmallGroup(1944,368)",1944,3,3,106795,15116544
"SmallGroup(2000,654)",2000,5,2,79223,16000000
"SmallGroup(2187,289)",2187,3,2,125587,19131876
"SmallGroup(3125,5)",3125,5,2,122923,39062500
"DirectProduct(SmallGroup(1029,12),CyclicGroup(2))",2058,5,3,89831,16941456
"DirectProduct(SmallGroup(1080,104),CyclicGroup(2))",2160,5,2,93327,18662400
"DirectProduct(SmallGroup(1125,10),CyclicGroup(2))",2250,3,2,100299,20250000
"DirectProduct(SmallGroup(1152,157),CyclicGroup(2))",2304,3,2,119495,21233664
"DirectProduct(SmallGroup(1176,41),CyclicGroup(2))",2352,5,2,92359,22127616
"DirectProduct(SmallGroup(1215,15),CyclicGroup(2))",2430,3,2,145675,23619600
"DirectProduct(SmallGroup(1250,6),CyclicGroup(2))",2500,3,2,162699,25000000
"DirectProduct(SmallGroup(1296,536),CyclicGroup(2))",2592,3,3,159787,26873856
"DirectProduct(SmallGroup(1323,4),CyclicGroup(2))",2646,3,2,117803,28005264
"DirectProduct(SmallGroup(1372,35),CyclicGroup(2))",2744,3,2,167975,30118144
"DirectProduct(SmallGroup(1440,523),CyclicGroup(2))",2880,3,2,133227,33177600
"DirectProduct(SmallGroup(1458,30),CyclicGroup(2))",2916,3,2,189739,34012224
"DirectProduct(SmallGroup(1500,28),CyclicGroup(2))",3000,3,2,134999,36000000
"DirectProduct(SmallGroup(1536,408544),CyclicGroup(2))",3072,3,2,176327,37748736
"DirectProduct(SmallGroup(1568,41),CyclicGroup(2))",3136,3,2,142923,39337984
"DirectProduct(SmallGroup(1620,63),CyclicGroup(2))",3240,5,2,127287,41990400
"DirectProduct(SmallGroup(1680,954),CyclicGroup(2))",3360,5,3,141647,45158400
"DirectProduct(SmallGroup(1701,28),CyclicGroup(2))",3402,5,2,141511,46294416
"DirectProduct(SmallGroup(1728,928),CyclicGroup(2))",3456,3,2,155223,47775744
"DirectProduct(SmallGroup(1750,10),CyclicGroup(2))",3500,3,2,161399,49000000
"DirectProduct(SmallGroup(1944,368),CyclicGroup(2))",3888,5,3,163327,60466176
"DirectProduct(SmallGroup(2000,654),CyclicGroup(2))",4000,3,2,189399,64000000
"DirectProduct(SmallGroup(2187,289),CyclicGroup(2))",4374,3,2,204319,76527504
